gene	timepoint	donor	target_reads	all_site_reads	usage
CREM	0hr	CD_21	5	23	21.7391304347826
CREM	0hr	CD_31	0	12	0
CREM	0hr	CD_36	0	10	0
CREM	0hr	CD_48	4	15	26.6666666666667
TTLL7	0hr	CD_21	29	225	12.8888888888889
TTLL7	0hr	CD_31	26	162	16.0493827160494
TTLL7	0hr	CD_36	8	109	7.3394495412844
TTLL7	0hr	CD_48	18	163	11.0429447852761
CREM	1hr	CD_21	80	120	66.6666666666667
CREM	1hr	CD_31	69	106	65.0943396226415
CREM	1hr	CD_36	39	61	63.9344262295082
CREM	1hr	CD_48	82	127	64.5669291338583
TTLL7	1hr	CD_21	93	412	22.5728155339806
TTLL7	1hr	CD_31	88	383	22.976501305483
TTLL7	1hr	CD_36	59	252	23.4126984126984
TTLL7	1hr	CD_48	96	444	21.6216216216216
CREM	6hr	CD_21	274	371	73.8544474393531
CREM	6hr	CD_31	305	388	78.6082474226804
CREM	6hr	CD_36	141	199	70.8542713567839
CREM	6hr	CD_48	221	283	78.0918727915194
TTLL7	6hr	CD_21	309	660	46.8181818181818
TTLL7	6hr	CD_31	310	604	51.3245033112583
TTLL7	6hr	CD_36	178	312	57.0512820512821
TTLL7	6hr	CD_48	319	622	51.2861736334405
