gene	description	category	chrom	strand	gene_length	n_junctions	max_abs_dpsi	comparisons	events	n_neuro_go	n_go	neuro_terms
R3HDM2	R3H domain containing 2	other	chr12	-	177282	7	0.675	0hr->1hr,0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	3	""
CREM	cAMP responsive element modulator	activity-regulated	chr10	+	86168	6	0.633	0hr->1hr,0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	20	""
CLDND1	claudin domain containing 1	other	chr3	-	25155	9	0.457	0hr->1hr,0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	4	""
ANKRD12	ankyrin repeat domain 12	other	chr18	+	149758	6	0.444	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	2	""
HDAC9	histone deacetylase 9	activity-regulated	chr7	+	915477	4	0.424	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	36	""
ATF3	activating transcription factor 3	activity-regulated	chr1	+	55444	2	0.412	1hr->6hr	alt 5'ss (A5SS)	0	31	""
FNDC3A	fibronectin type III domain containing 3A	other	chr13	+	233891	10	0.399	0hr->1hr,0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	14	""
TTLL7	tubulin tyrosine ligase like 7	neuronal (weak annotation)	chr1	-	134465	6	0.398	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	1	15	dendrite
MIA2	MIA SH3 domain ER export factor 2	other	chr14	+	158283	4	0.382	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	9	""
YPEL5	yippee like 5	other	chr2	+	13593	7	0.381	0hr->1hr,0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	11	""
BDNF	brain derived neurotrophic factor	activity-regulated	chr11	-	67166	2	0.38	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	14	35	axon; axon guidance; dendrite; modulation of chemical synaptic transmission
JMJD1C	jumonji domain containing 1C	other	chr10	-	354686	12	0.375	0hr->1hr,0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	16	""
ZNF302	zinc finger protein 302	other	chr19	+	9050	4	0.362	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	6	""
R3HDM1	R3H domain containing 1	other	chr2	+	193816	4	0.36	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	1	""
HMGXB4	HMG-box containing 4	other	chr22	+	38356	9	0.344	0hr->1hr,0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	7	""
CTNND2	catenin delta 2	neuronal	chr5	-	932611	4	0.343	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	4	18	dendrite; dendritic spine morphogenesis; postsynaptic density; synapse organization
SGIP1	SH3GL interacting endocytic adaptor 1	other	chr1	+	217873	6	0.326	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	16	""
SEC31A	SEC31 homolog A, COPII coat complex component	other	chr4	-	82658	6	0.324	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	19	""
MRPS18C	mitochondrial ribosomal protein S18C	other	chr4	+	13804	6	0.322	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	6	""
ZFAND1	zinc finger AN1-type containing 1	other	chr8	-	31570	4	0.322	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	8	""
ORAI2	ORAI calcium release-activated calcium modulator 2	other	chr7	+	23720	3	0.321	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	7	""
ELF2	E74 like ETS transcription factor 2	other	chr4	-	149165	3	0.319	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	11	""
HIVEP2	HIVEP zinc finger 2	other	chr6	-	205230	2	0.315	1hr->6hr	alt 5'ss (A5SS)	0	7	""
PITPNB	phosphatidylinositol transfer protein beta	other	chr22	-	68466	3	0.31	1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	16	""
ZNF331	zinc finger protein 331	other	chr19	+	60743	4	0.309	1hr->6hr	alt 5'ss (A5SS)	0	6	""
AHI1	Abelson helper integration site 1	other	chr6	-	215028	7	0.306	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	34	""
ZNF493	zinc finger protein 493	other	chr19	+	173867	6	0.305	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	6	""
MTUS1	microtubule associated scaffold protein 1	other	chr8	-	157300	4	0.303	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	13	""
USP33	ubiquitin specific peptidase 33	neuronal (weak annotation)	chr1	-	63866	7	0.303	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	2	29	axon guidance; neuronal cell body
PCCA	propionyl-CoA carboxylase subunit alpha	other	chr13	+	441423	2	0.298	1hr->6hr	alt 5'ss (A5SS)	0	13	""
LDAF1	lipid droplet assembly factor 1	other	chr16	+	64178	4	0.293	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	5	""
JARID2	jumonji and AT-rich interaction domain containing 2	other	chr6	+	276596	2	0.291	0hr->6hr	alt 5'ss (A5SS)	0	26	""
PSIP1	PC4 and SFRS1 interacting protein 1	other	chr9	-	47070	1	0.29	0hr->6hr	alt 3'ss (A3SS)	0	14	""
NRP1	neuropilin 1	neuronal	chr10	-	158771	4	0.289	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	35	118	axon; axon extension involved in axon guidance; axon guidance; axonal fasciculation
AFF3	ALF transcription elongation factor 3	other	chr2	-	647010	6	0.287	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	11	""
